stride_length_cm,ground_contact_ms,hip_drop_degrees,fatigue_index,injury_risk_score
83.4,213.9,4.4,2.2,33.36
90.5,349.9,4.9,6.9,37.28
103.1,245.2,2.2,8.2,31.59
141.5,302.5,4.6,4.6,46.87
96.1,280.0,12.1,9.8,46.55
110.1,306.2,14.3,5.7,65.1
110.2,294.9,12.5,6.5,57.78
109.3,298.6,8.2,7.7,45.69
85.1,261.1,11.1,3.4,47.43
109.9,302.2,7.0,6.1,39.4
136.5,318.0,6.9,9.5,43.72
127.9,267.4,5.5,1.8,54.69
96.6,320.7,5.6,9.0,30.74
137.7,249.6,9.2,4.7,53.49
131.1,154.2,12.1,8.9,36.59
113.9,292.1,14.7,9.7,52.64
115.1,292.9,9.1,6.6,56.36
154.7,214.8,9.2,9.9,42.03
159.4,191.1,7.4,8.7,44.14
86.5,311.4,13.0,7.7,60.13
86.9,249.5,12.0,8.8,39.91
140.2,189.4,14.3,7.8,35.97
138.8,177.2,6.1,8.8,37.51
133.1,275.8,9.1,1.2,55.68
108.0,176.8,5.8,1.9,31.59
